MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
8.0,8.0,9.0,4.0,5.0,5.0,4.0,9.0,7.0,2.0,9.0,3.0,8.0,3.0,4.0,3.0,3.0,8.0,6.0,1.0,0.545
6.0,10.5,5.0,7.0,3.0,6.0,9.0,5.0,6.0,7.0,3.0,7.0,4.0,4.0,4.0,4.0,6.0,4.0,8.0,6.0,0.575
2.0,4.0,6.0,5.0,4.0,6.0,5.0,6.0,4.0,8.0,7.0,2.0,4.0,5.0,2.0,6.0,5.0,5.0,0.0,8.0,0.47
3.0,6.0,7.0,5.0,1.0,6.0,7.0,4.0,2.0,4.0,6.0,3.0,7.0,4.0,4.0,4.0,1.0,5.0,4.0,3.0,0.43
4.0,6.0,4.0,8.0,7.0,4.0,4.0,8.0,2.0,7.0,5.0,5.0,3.0,8.0,7.0,8.0,2.0,6.0,2.0,3.0,0.515
4.0,7.0,8.0,2.0,2.0,9.0,6.0,3.0,4.0,3.0,3.0,8.0,3.0,4.0,6.0,6.0,9.0,1.0,9.0,6.0,0.515
3.0,7.0,8.0,7.0,1.0,1.0,7.0,5.0,7.0,4.0,3.0,6.0,6.0,3.0,9.0,4.0,7.0,6.0,10.5,6.0,0.565
10.5,4.0,4.0,7.0,5.0,9.0,8.0,5.0,4.0,4.0,8.0,3.0,6.0,4.0,4.0,5.0,3.0,3.0,4.0,10.0,0.555
4.0,6.0,4.0,5.0,7.0,9.0,8.0,3.0,6.0,4.0,2.0,7.0,5.0,5.0,6.0,7.0,6.0,6.0,7.0,5.0,0.56
5.0,3.0,1.0,3.0,7.0,4.0,5.0,5.0,3.0,4.0,9.0,9.0,4.0,9.0,1.0,8.0,7.0,6.0,5.0,3.0,0.505
4.0,4.0,4.0,6.0,7.0,5.0,8.0,6.0,7.0,9.0,8.0,10.5,7.0,6.0,9.0,4.0,6.0,4.0,6.0,6.0,0.635
4.0,4.0,3.0,5.0,9.0,10.0,2.0,4.0,7.0,6.0,9.0,8.0,6.0,5.0,5.0,2.0,6.0,4.0,7.0,3.0,0.545
3.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,6.0,3.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,0.425
9.0,6.0,6.0,7.0,8.0,10.0,7.0,5.0,6.0,5.0,4.0,4.0,6.0,7.0,5.0,6.0,5.0,5.0,3.0,5.0,0.595
2.0,6.0,3.0,2.0,0.0,3.0,6.0,2.0,3.0,5.0,8.0,5.0,3.0,7.0,8.0,5.0,3.0,2.0,10.5,7.0,0.46
2.0,4.0,6.0,3.0,7.0,5.0,5.0,2.0,3.0,9.0,3.0,3.0,8.0,3.0,3.0,6.0,6.0,7.0,3.0,6.0,0.47
3.0,9.0,3.0,6.0,1.0,6.0,2.0,3.0,3.0,8.0,3.0,4.0,4.0,3.0,8.0,5.0,5.0,6.0,3.0,5.0,0.45
3.0,7.0,10.0,5.0,4.0,3.0,4.0,5.0,7.0,3.0,6.0,3.0,2.0,6.0,2.0,4.0,6.0,5.0,6.0,3.0,0.47
5.0,3.0,6.0,4.0,5.0,3.0,6.0,5.0,4.0,4.0,3.0,8.0,6.0,6.0,6.0,7.0,3.0,4.0,7.0,4.0,0.495
10.5,6.0,5.0,4.0,3.0,7.0,8.0,8.0,4.0,4.0,4.0,4.0,3.0,5.0,7.0,4.0,3.0,4.0,9.0,5.0,0.545
6.0,6.0,1.0,7.0,5.0,6.0,6.0,8.0,5.0,8.0,8.0,8.0,5.0,5.0,6.0,4.0,4.0,6.0,10.5,6.0,0.61
4.0,4.0,5.0,7.0,6.0,3.0,6.0,6.0,5.0,6.0,6.0,4.0,3.0,7.0,5.0,7.0,5.0,5.0,3.0,3.0,0.5
1.0,5.0,10.5,3.0,5.0,4.0,3.0,7.0,10.0,9.0,4.0,5.0,9.0,4.0,4.0,2.0,6.0,10.5,4.0,2.0,0.545
3.0,6.0,5.0,3.0,3.0,5.0,6.0,7.0,4.0,10.0,5.0,10.0,7.0,7.0,2.0,4.0,6.0,10.0,3.0,7.0,0.565
5.0,7.0,10.0,4.0,7.0,6.0,3.0,8.0,4.0,6.0,5.0,6.0,4.0,6.0,3.0,3.0,2.0,2.0,3.0,3.0,0.485
4.0,6.0,6.0,0.0,4.0,7.0,3.0,8.0,3.0,4.0,2.0,8.0,3.0,6.0,6.0,7.0,5.0,10.0,10.5,6.0,0.545
5.0,10.0,3.0,7.0,9.0,9.0,5.0,6.0,4.0,6.0,3.0,6.0,6.0,9.0,4.0,7.0,6.0,2.0,5.0,4.0,0.58
4.0,3.0,7.0,6.0,4.0,5.0,5.0,2.0,2.0,2.0,5.0,7.0,5.0,3.0,6.0,5.0,4.0,6.0,7.0,8.0,0.48
4.0,2.0,5.0,1.0,3.0,6.0,7.0,8.0,3.0,5.0,4.0,2.0,2.0,6.0,3.0,4.0,5.0,4.0,8.0,2.0,0.42
6.0,6.0,6.0,4.0,5.0,6.0,3.0,7.0,6.0,4.0,4.0,3.0,4.0,3.0,5.0,6.0,5.0,5.0,4.0,1.0,0.465
2.0,2.0,5.0,5.0,3.0,3.0,1.0,7.0,2.0,5.0,7.0,5.0,9.0,5.0,9.0,8.0,10.5,8.0,7.0,6.0,0.55
2.0,5.0,5.0,4.0,6.0,10.0,1.0,4.0,3.0,3.0,2.0,5.0,3.0,8.0,6.0,6.0,5.0,4.0,7.0,4.0,0.465
7.0,4.0,4.0,6.0,7.0,7.0,5.0,2.0,6.0,6.0,4.0,6.0,6.0,7.0,6.0,8.0,7.0,5.0,7.0,4.0,0.57
6.0,7.0,5.0,1.0,6.0,5.0,2.0,3.0,9.0,7.0,6.0,4.0,7.0,5.0,5.0,5.0,4.0,6.0,3.0,6.0,0.51
3.0,7.0,6.0,4.0,3.0,8.0,2.0,4.0,7.0,5.0,8.0,7.0,3.0,3.0,6.0,5.0,5.0,3.0,2.0,5.0,0.48
5.0,3.0,1.0,3.0,6.0,5.0,3.0,3.0,4.0,7.0,7.0,5.0,9.0,1.0,2.0,7.0,6.0,8.0,5.0,5.0,0.475
6.0,7.0,8.0,2.0,7.0,6.0,6.0,3.0,5.0,4.0,1.0,6.0,8.0,9.0,5.0,6.0,4.0,4.0,4.0,7.0,0.54
6.0,4.0,6.0,5.0,6.0,4.0,7.0,2.0,8.0,4.0,8.0,6.0,6.0,4.0,6.0,5.0,7.0,3.0,4.0,8.0,0.545
6.0,9.0,4.0,4.0,2.0,4.0,1.0,6.0,9.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,2.0,5.0,4.0,5.0,0.45
3.0,4.0,9.0,8.0,6.0,6.0,9.0,5.0,10.0,1.0,8.0,2.0,2.0,7.0,6.0,4.0,6.0,3.0,6.0,4.0,0.545
10.5,5.0,6.0,3.0,3.0,7.0,3.0,3.0,6.0,4.0,7.0,5.0,7.0,8.0,3.0,2.0,4.0,8.0,7.0,8.0,0.555
6.0,9.0,5.0,9.0,4.0,7.0,4.0,5.0,5.0,7.0,3.0,7.0,7.0,6.0,4.0,4.0,1.0,4.0,8.0,8.0,0.565
6.0,4.0,6.0,2.0,5.0,9.0,9.0,4.0,5.0,3.0,3.0,5.0,5.0,10.5,3.0,2.0,4.0,6.0,4.0,7.0,0.515
4.0,5.0,4.0,8.0,3.0,6.0,3.0,3.0,5.0,5.0,8.0,6.0,5.0,6.0,6.0,6.0,5.0,8.0,2.0,4.0,0.51
5.0,6.0,10.0,6.0,3.0,5.0,3.0,4.0,8.0,10.0,6.0,8.0,5.0,5.0,7.0,9.0,6.0,9.0,3.0,4.0,0.61
8.0,5.0,5.0,6.0,4.0,3.0,3.0,6.0,7.0,6.0,1.0,10.0,4.0,2.0,5.0,1.0,6.0,9.0,1.0,2.0,0.47
2.0,6.0,4.0,2.0,3.0,6.0,6.0,2.0,6.0,5.0,3.0,5.0,5.0,6.0,2.0,3.0,8.0,9.0,4.0,8.0,0.475
9.0,7.0,4.0,8.0,3.0,7.0,5.0,5.0,1.0,9.0,3.0,5.0,6.0,4.0,7.0,4.0,6.0,3.0,8.0,6.0,0.55
6.0,7.0,9.0,3.0,6.0,2.0,4.0,3.0,1.0,4.0,4.0,2.0,10.0,2.0,10.0,2.0,3.0,9.0,4.0,10.5,0.515
3.0,2.0,1.0,2.0,5.0,6.0,5.0,0.0,2.0,4.0,3.0,6.0,4.0,2.0,4.0,7.0,3.0,4.0,5.0,3.0,0.355
3.0,3.0,1.0,8.0,3.0,4.0,7.0,9.0,4.0,6.0,4.0,3.0,6.0,6.0,3.0,2.0,6.0,0.0,9.0,7.0,0.47
5.0,3.0,7.0,7.0,4.0,4.0,4.0,3.0,10.0,10.5,2.0,6.0,4.0,4.0,8.0,5.0,9.0,6.0,8.0,4.0,0.57
2.0,6.0,6.0,3.0,4.0,1.0,6.0,6.0,5.0,4.0,4.0,2.0,5.0,3.0,3.0,4.0,5.0,4.0,7.0,5.0,0.425
9.0,6.0,8.0,8.0,8.0,6.0,4.0,3.0,6.0,4.0,7.0,4.0,10.0,4.0,4.0,10.0,8.0,5.0,4.0,6.0,0.62
2.0,6.0,7.0,5.0,6.0,9.0,10.0,7.0,4.0,5.0,5.0,4.0,1.0,2.0,8.0,4.0,4.0,3.0,3.0,6.0,0.505
2.0,4.0,10.5,4.0,4.0,7.0,6.0,5.0,5.0,3.0,4.0,4.0,2.0,1.0,8.0,7.0,6.0,4.0,4.0,4.0,0.475
9.0,6.0,10.0,5.0,4.0,3.0,3.0,5.0,2.0,10.0,4.0,3.0,5.0,9.0,5.0,10.5,4.0,5.0,3.0,3.0,0.545
6.0,6.0,4.0,5.0,8.0,5.0,5.0,7.0,8.0,6.0,5.0,10.0,4.0,4.0,9.0,4.0,6.0,5.0,2.0,4.0,0.565
6.0,5.0,4.0,2.0,6.0,6.0,7.0,3.0,7.0,3.0,1.0,2.0,5.0,4.0,5.0,6.0,10.5,5.0,8.0,0.0,0.48
7.0,1.0,5.0,4.0,5.0,3.0,2.0,3.0,5.0,3.0,10.5,6.0,0.0,7.0,4.0,5.0,4.0,8.0,4.0,2.0,0.445
2.0,4.0,5.0,7.0,3.0,5.0,3.0,4.0,4.0,7.0,5.0,2.0,2.0,3.0,6.0,4.0,9.0,6.0,7.0,2.0,0.45
7.0,5.0,4.0,2.0,5.0,7.0,6.0,7.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,9.0,9.0,3.0,6.0,2.0,0.475
5.0,7.0,6.0,6.0,4.0,5.0,5.0,3.0,7.0,3.0,6.0,5.0,2.0,6.0,9.0,5.0,2.0,6.0,10.0,10.0,0.56
9.0,7.0,2.0,2.0,2.0,1.0,4.0,8.0,10.0,4.0,7.0,7.0,4.0,4.0,5.0,7.0,6.0,4.0,7.0,4.0,0.52
3.0,2.0,4.0,10.5,5.0,5.0,3.0,7.0,4.0,3.0,8.0,1.0,8.0,4.0,4.0,4.0,8.0,6.0,3.0,8.0,0.51
7.0,4.0,10.5,4.0,8.0,3.0,8.0,4.0,4.0,5.0,6.0,5.0,3.0,4.0,4.0,6.0,2.0,4.0,2.0,9.0,0.515
7.0,2.0,6.0,8.0,4.0,2.0,9.0,4.0,6.0,4.0,3.0,2.0,4.0,10.5,8.0,6.0,5.0,8.0,7.0,4.0,0.56
5.0,2.0,3.0,7.0,7.0,6.0,9.0,3.0,4.0,6.0,5.0,10.0,8.0,5.0,5.0,9.0,6.0,6.0,2.0,5.0,0.565
6.0,5.0,5.0,3.0,6.0,8.0,4.0,6.0,2.0,7.0,3.0,10.5,4.0,3.0,7.0,7.0,5.0,5.0,5.0,10.0,0.56
6.0,4.0,5.0,8.0,6.0,2.0,0.0,4.0,3.0,6.0,0.0,6.0,5.0,4.0,6.0,7.0,5.0,4.0,4.0,7.0,0.46
5.0,5.0,2.0,6.0,6.0,5.0,6.0,6.0,8.0,6.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,2.0,0.465
5.0,6.0,7.0,5.0,4.0,3.0,4.0,8.0,4.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,6.0,4.0,3.0,5.0,0.47
5.0,8.0,8.0,7.0,6.0,5.0,7.0,10.0,4.0,2.0,5.0,5.0,6.0,5.0,3.0,0.0,3.0,7.0,5.0,2.0,0.515
6.0,8.0,10.0,3.0,6.0,7.0,9.0,3.0,8.0,2.0,9.0,4.0,4.0,2.0,5.0,10.0,4.0,3.0,3.0,3.0,0.545
5.0,4.0,8.0,3.0,3.0,4.0,5.0,8.0,8.0,8.0,5.0,3.0,7.0,4.0,3.0,8.0,4.0,6.0,9.0,5.0,0.55
10.0,7.0,5.0,3.0,4.0,8.0,6.0,2.0,6.0,4.0,3.0,8.0,3.0,9.0,4.0,10.0,4.0,4.0,5.0,10.0,0.575
2.0,5.0,7.0,5.0,4.0,3.0,2.0,1.0,3.0,5.0,4.0,6.0,6.0,3.0,4.0,6.0,2.0,4.0,3.0,8.0,0.415
2.0,6.0,2.0,5.0,0.0,4.0,4.0,6.0,7.0,8.0,6.0,6.0,2.0,4.0,7.0,5.0,2.0,4.0,8.0,2.0,0.45
4.0,10.5,7.0,8.0,4.0,9.0,2.0,6.0,4.0,4.0,5.0,2.0,10.0,4.0,8.0,7.0,3.0,6.0,5.0,5.0,0.575
5.0,5.0,0.0,2.0,3.0,4.0,8.0,3.0,5.0,1.0,10.0,7.0,3.0,5.0,2.0,5.0,10.5,5.0,4.0,5.0,0.465
5.0,6.0,3.0,6.0,7.0,3.0,4.0,4.0,3.0,6.0,3.0,9.0,6.0,4.0,5.0,6.0,3.0,2.0,1.0,8.0,0.47
4.0,4.0,0.0,8.0,8.0,5.0,10.0,2.0,3.0,6.0,5.0,10.0,3.0,6.0,8.0,8.0,3.0,4.0,5.0,6.0,0.54
6.0,5.0,1.0,7.0,7.0,7.0,3.0,8.0,6.0,2.0,3.0,5.0,10.5,10.5,8.0,5.0,10.5,3.0,4.0,4.0,0.59
4.0,10.5,3.0,2.0,3.0,5.0,6.0,4.0,7.0,10.5,8.0,4.0,7.0,7.0,8.0,7.0,5.0,6.0,3.0,7.0,0.6
7.0,4.0,6.0,9.0,6.0,5.0,6.0,8.0,6.0,3.0,3.0,1.0,2.0,5.0,6.0,6.0,8.0,7.0,1.0,4.0,0.515
5.0,2.0,5.0,3.0,5.0,7.0,5.0,2.0,7.0,4.0,5.0,5.0,2.0,4.0,3.0,5.0,3.0,4.0,7.0,9.0,0.46
4.0,5.0,7.0,3.0,5.0,7.0,5.0,1.0,4.0,2.0,4.0,5.0,3.0,3.0,9.0,3.0,7.0,8.0,3.0,8.0,0.48
1.0,4.0,5.0,4.0,0.0,2.0,5.0,8.0,3.0,2.0,8.0,4.0,4.0,3.0,5.0,10.5,6.0,5.0,8.0,6.0,0.47
9.0,5.0,6.0,4.0,2.0,4.0,5.0,1.0,6.0,2.0,9.0,3.0,4.0,3.0,3.0,4.0,4.0,7.0,9.0,6.0,0.48
6.0,5.0,7.0,9.0,1.0,4.0,6.0,5.0,6.0,4.0,3.0,7.0,3.0,2.0,2.0,5.0,1.0,2.0,1.0,5.0,0.42
7.0,5.0,8.0,6.0,3.0,5.0,2.0,4.0,8.0,8.0,2.0,6.0,6.0,4.0,5.0,7.0,3.0,5.0,4.0,1.0,0.495
4.0,3.0,5.0,4.0,4.0,4.0,3.0,6.0,5.0,10.5,4.0,3.0,3.0,4.0,4.0,8.0,4.0,7.0,4.0,4.0,0.47
4.0,5.0,4.0,5.0,6.0,4.0,5.0,4.0,5.0,6.0,5.0,5.0,8.0,4.0,4.0,4.0,9.0,7.0,2.0,9.0,0.525
3.0,6.0,5.0,7.0,1.0,3.0,8.0,5.0,9.0,8.0,5.0,5.0,7.0,2.0,3.0,3.0,8.0,5.0,6.0,3.0,0.51
6.0,5.0,5.0,4.0,8.0,8.0,9.0,2.0,4.0,6.0,6.0,4.0,5.0,8.0,3.0,9.0,8.0,8.0,6.0,5.0,0.595
8.0,5.0,6.0,4.0,7.0,2.0,4.0,6.0,4.0,9.0,3.0,10.5,5.0,3.0,10.0,9.0,3.0,5.0,4.0,8.0,0.59
4.0,3.0,5.0,7.0,6.0,5.0,1.0,2.0,5.0,8.0,6.0,7.0,3.0,5.0,7.0,2.0,5.0,5.0,2.0,2.0,0.45
7.0,2.0,7.0,7.0,8.0,7.0,1.0,3.0,1.0,2.0,6.0,9.0,9.0,4.0,4.0,1.0,4.0,1.0,8.0,4.0,0.475
4.0,6.0,4.0,0.0,7.0,6.0,9.0,10.0,4.0,4.0,9.0,6.0,3.0,3.0,2.0,5.0,3.0,3.0,8.0,7.0,0.515
5.0,1.0,6.0,0.0,6.0,5.0,6.0,8.0,4.0,5.0,5.0,10.0,3.0,4.0,5.0,8.0,5.0,7.0,2.0,3.0,0.49
4.0,5.0,6.0,5.0,1.0,6.0,4.0,10.0,4.0,2.0,3.0,9.0,5.0,4.0,5.0,4.0,1.0,4.0,2.0,5.0,0.445
2.0,8.0,1.0,4.0,9.0,7.0,7.0,4.0,7.0,6.0,5.0,2.0,8.0,6.0,10.5,7.0,8.0,4.0,6.0,7.0,0.615
6.0,6.0,4.0,5.0,8.0,3.0,4.0,5.0,10.5,4.0,2.0,3.0,4.0,5.0,8.0,6.0,6.0,5.0,6.0,4.0,0.535
4.0,1.0,1.0,5.0,5.0,2.0,5.0,10.0,6.0,7.0,4.0,1.0,9.0,3.0,6.0,3.0,3.0,4.0,4.0,4.0,0.435
3.0,7.0,8.0,3.0,1.0,3.0,3.0,5.0,4.0,6.0,9.0,8.0,4.0,8.0,4.0,1.0,5.0,5.0,6.0,2.0,0.475
7.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,2.0,4.0,4.0,2.0,6.0,5.0,8.0,10.0,8.0,9.0,6.0,0.525
6.0,5.0,2.0,4.0,3.0,7.0,4.0,5.0,2.0,6.0,4.0,8.0,9.0,5.0,8.0,5.0,7.0,4.0,8.0,3.0,0.525
6.0,5.0,7.0,3.0,3.0,6.0,2.0,6.0,8.0,5.0,7.0,5.0,6.0,3.0,5.0,5.0,1.0,7.0,5.0,2.0,0.485
4.0,5.0,4.0,2.0,9.0,6.0,5.0,6.0,5.0,10.0,4.0,4.0,3.0,5.0,10.5,7.0,4.0,1.0,6.0,4.0,0.54
8.0,4.0,6.0,7.0,10.0,5.0,2.0,4.0,5.0,4.0,7.0,8.0,5.0,9.0,3.0,5.0,9.0,5.0,3.0,4.0,0.565
7.0,6.0,3.0,6.0,9.0,3.0,4.0,10.5,5.0,3.0,3.0,9.0,5.0,5.0,5.0,1.0,5.0,8.0,5.0,6.0,0.545
5.0,5.0,6.0,7.0,4.0,3.0,3.0,4.0,2.0,5.0,5.0,7.0,3.0,5.0,6.0,7.0,5.0,6.0,3.0,6.0,0.485
2.0,5.0,6.0,10.5,6.0,8.0,4.0,7.0,6.0,5.0,5.0,0.0,2.0,9.0,7.0,4.0,4.0,8.0,2.0,7.0,0.54
3.0,4.0,7.0,6.0,6.0,4.0,6.0,7.0,7.0,6.0,2.0,5.0,1.0,3.0,5.0,7.0,2.0,2.0,7.0,1.0,0.455
5.0,5.0,8.0,5.0,7.0,4.0,4.0,4.0,5.0,4.0,3.0,10.5,5.0,4.0,4.0,9.0,6.0,2.0,7.0,5.0,0.535
10.0,9.0,2.0,5.0,5.0,6.0,4.0,8.0,6.0,5.0,2.0,3.0,2.0,6.0,4.0,1.0,6.0,10.5,5.0,2.0,0.535
7.0,8.0,4.0,6.0,7.0,5.0,9.0,5.0,5.0,7.0,6.0,4.0,3.0,4.0,3.0,4.0,2.0,9.0,6.0,3.0,0.535
3.0,6.0,6.0,6.0,1.0,10.0,2.0,3.0,5.0,10.0,4.0,4.0,4.0,8.0,7.0,4.0,7.0,6.0,2.0,3.0,0.505
10.0,5.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,6.0,3.0,1.0,8.0,0.0,3.0,2.0,5.0,7.0,8.0,5.0,0.44
7.0,7.0,5.0,6.0,3.0,5.0,5.0,3.0,7.0,8.0,0.0,5.0,4.0,5.0,4.0,4.0,7.0,3.0,6.0,3.0,0.485
4.0,4.0,10.0,5.0,7.0,6.0,1.0,2.0,3.0,2.0,3.0,4.0,5.0,3.0,7.0,9.0,4.0,2.0,2.0,4.0,0.435
6.0,8.0,7.0,6.0,5.0,8.0,10.5,5.0,5.0,6.0,5.0,2.0,5.0,5.0,5.0,4.0,6.0,6.0,9.0,3.0,0.585
3.0,4.0,5.0,3.0,5.0,6.0,5.0,4.0,6.0,4.0,3.0,3.0,6.0,5.0,6.0,2.0,1.0,4.0,8.0,5.0,0.44
6.0,3.0,1.0,2.0,5.0,4.0,3.0,9.0,8.0,3.0,3.0,2.0,5.0,3.0,3.0,5.0,1.0,4.0,5.0,6.0,0.405
7.0,8.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,5.0,3.0,6.0,5.0,9.0,3.0,6.0,8.0,5.0,2.0,6.0,0.465
8.0,3.0,9.0,6.0,6.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,4.0,6.0,6.0,10.5,5.0,6.0,7.0,4.0,0.575
8.0,8.0,6.0,3.0,4.0,10.0,3.0,9.0,2.0,7.0,4.0,5.0,5.0,4.0,7.0,6.0,5.0,6.0,7.0,2.0,0.555
2.0,8.0,1.0,4.0,3.0,4.0,4.0,7.0,5.0,9.0,5.0,3.0,6.0,5.0,4.0,2.0,9.0,6.0,5.0,3.0,0.475
8.0,4.0,6.0,5.0,4.0,8.0,6.0,5.0,4.0,7.0,3.0,4.0,5.0,8.0,2.0,5.0,3.0,8.0,2.0,6.0,0.515
6.0,3.0,5.0,8.0,9.0,4.0,6.0,10.5,2.0,8.0,3.0,4.0,6.0,7.0,2.0,4.0,7.0,4.0,2.0,5.0,0.53
3.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,0.0,8.0,7.0,4.0,1.0,0.41
4.0,3.0,8.0,7.0,10.5,3.0,2.0,6.0,3.0,4.0,6.0,8.0,6.0,7.0,2.0,4.0,5.0,7.0,7.0,6.0,0.56
4.0,5.0,1.0,7.0,8.0,4.0,5.0,8.0,3.0,3.0,6.0,8.0,6.0,5.0,6.0,2.0,4.0,4.0,8.0,5.0,0.51
